latitude,longitude
44.52910492,-69.66296708
44.5285084,-69.66149907
44.52850618,-69.66155193
44.52708022,-69.6604851
44.52703379,-69.66031835
44.52914165,-69.66311049
44.52895813,-69.66286431
44.52889891,-69.66276904
44.52695925,-69.65939812
44.52695747,-69.65972704
44.52696951,-69.65984702
44.52873426,-69.66233237
44.52695331,-69.65945253
44.52693091,-69.65952901
44.5269353,-69.65967887
44.52851935,-69.66198767
44.52697606,-69.65985273
44.52886774,-69.66260631
44.52761212,-69.65922142
44.52756173,-69.66113481
44.52861747,-69.66207427
44.52717084,-69.66067032
44.52709623,-69.6606174
44.52799245,-69.66142088
44.52799982,-69.66139511
44.52777806,-69.66119148
44.5495593,-69.62974562
44.54959471,-69.62934804
44.5496406,-69.62975426
44.549686,-69.6297763
44.55320219,-69.62811536
44.55303827,-69.6275268
44.55320771,-69.62814586
44.55319974,-69.62752168
44.55330345,-69.6276284
